applicant_id,age,income_annual,employment_type,home_ownership,loan_purpose,education,loan_amount,credit_score,debt_to_income_ratio,default
A00001,25,116975.0,Salaried,Rent,Home Improvement,Bachelor,4026.0,805.0,0.398,0
A00002,58,87445.0,Salaried,Own,Medical,Bachelor,2611.0,,0.489,1
A00003,53,66698.0,Salaried,Mortgage,Education,Bachelor,1472.0,674.0,0.438,0
A00004,42,82912.0,Salaried,Mortgage,Auto,High School,1191.0,775.0,0.395,1
A00005,42,90087.0,Retired,Mortgage,Home Improvement,PhD,7807.0,644.0,0.392,1
A00006,63,81049.0,Salaried,Rent,Auto,Bachelor,899.0,666.0,0.488,0
A00007,25,83612.0,Salaried,Own,Business,Bachelor,3463.0,702.0,0.47,0
A00008,55,98922.0,Salaried,Rent,Education,Bachelor,988.0,692.0,0.393,0
A00009,30,62743.0,Salaried,Rent,Auto,High School,2678.0,782.0,0.259,0
A00010,25,40497.0,Salaried,Mortgage,Business,High School,2290.0,709.0,0.425,1
A00011,46,97559.0,Self-Employed,Mortgage,Auto,Bachelor,1104.0,766.0,0.343,0
A00012,68,40383.0,Retired,Mortgage,Business,High School,4054.0,672.0,0.334,1
A00013,57,58060.0,Salaried,Mortgage,Auto,Bachelor,1402.0,632.0,0.759,0
A00014,58,83047.0,Self-Employed,Rent,Business,Master,1001.0,665.0,0.123,0
A00015,56,83942.0,Salaried,Mortgage,Business,High School,4340.0,605.0,0.509,1
A00016,59,,Salaried,Rent,Business,High School,2305.0,711.0,0.231,0
A00017,46,68798.0,Salaried,Mortgage,Auto,Bachelor,1762.0,655.0,0.377,0
A00018,27,80418.0,Salaried,Mortgage,Business,High School,4488.0,636.0,0.752,1
A00019,62,54984.0,Self-Employed,Rent,Home Improvement,Master,1354.0,712.0,0.213,0
A00020,43,124730.0,Self-Employed,Mortgage,Auto,Bachelor,833.0,606.0,0.243,0
A00021,45,50996.0,Self-Employed,Rent,Auto,High School,5609.0,730.0,0.38,0
A00022,39,66185.0,Salaried,Own,Business,High School,7177.0,649.0,0.255,0
A00023,29,60294.0,Self-Employed,Rent,Auto,Master,2635.0,755.0,0.496,0
A00024,66,74478.0,Salaried,Rent,Business,High School,253.0,654.0,0.271,0
A00025,59,122144.0,Salaried,Rent,Business,,2640.0,721.0,0.455,0
A00026,52,49975.0,Salaried,Mortgage,Auto,High School,4611.0,692.0,0.178,0
A00027,40,83563.0,Self-Employed,Rent,Medical,High School,5326.0,728.0,0.098,0
A00028,61,,Retired,Mortgage,Medical,Master,1467.0,702.0,0.321,1
A00029,47,106336.0,Salaried,Rent,Education,High School,2391.0,572.0,0.121,1
A00030,42,52985.0,Self-Employed,Own,Home Improvement,High School,3291.0,746.0,0.596,1
A00031,43,52196.0,Self-Employed,Mortgage,Auto,Bachelor,4463.0,674.0,0.146,0
A00032,32,66481.0,Unemployed,Mortgage,Education,Master,4208.0,671.0,0.213,1
A00033,25,66974.0,Salaried,Mortgage,Home Improvement,High School,3832.0,725.0,0.429,1
A00034,48,48713.0,Self-Employed,Mortgage,Auto,High School,5288.0,630.0,0.295,1
A00035,64,89995.0,Self-Employed,Rent,Home Improvement,PhD,2762.0,,0.131,1
A00036,24,86701.0,Unemployed,Mortgage,Auto,Bachelor,6380.0,663.0,0.678,1
A00037,63,142055.0,Salaried,Rent,Medical,Master,2040.0,660.0,0.204,0
A00038,61,63411.0,Retired,Own,Auto,Master,4243.0,756.0,0.341,0
A00039,34,48277.0,Salaried,Rent,Business,,2192.0,668.0,0.332,0
A00040,51,50975.0,Unemployed,Rent,Business,Bachelor,2654.0,687.0,0.472,1
A00041,29,80121.0,Salaried,Mortgage,Home Improvement,High School,2921.0,708.0,0.43,1
A00042,58,53407.0,Salaried,Rent,Home Improvement,Bachelor,2118.0,699.0,0.238,0
A00043,55,92438.0,Salaried,Rent,Business,Bachelor,5456.0,656.0,0.319,0
A00044,38,55722.0,Salaried,Rent,Business,PhD,2261.0,695.0,0.328,1
A00045,24,76016.0,Salaried,Mortgage,Medical,Bachelor,2831.0,758.0,0.474,0
A00046,68,69256.0,Salaried,Mortgage,Home Improvement,High School,3968.0,676.0,0.192,0
A00047,42,50765.0,Salaried,Rent,Business,Bachelor,9620.0,,0.71,1
A00048,64,41119.0,Salaried,Mortgage,Home Improvement,Bachelor,4032.0,683.0,0.266,0
A00049,54,109980.0,Self-Employed,Rent,Auto,Bachelor,2997.0,688.0,0.357,0
A00050,59,80960.0,Retired,Mortgage,Medical,Master,725.0,807.0,0.179,0
A00051,58,46054.0,Self-Employed,Rent,Business,Bachelor,2609.0,758.0,0.172,0
A00052,30,,Salaried,Own,Auto,High School,1888.0,685.0,0.231,0
A00053,38,140372.0,Salaried,Own,Auto,Bachelor,2385.0,694.0,0.21,0
A00054,43,51975.0,Retired,Rent,Home Improvement,Bachelor,2166.0,649.0,0.3,1
A00055,45,124008.0,Salaried,Rent,Education,Master,3981.0,669.0,0.213,0
A00056,23,77707.0,Salaried,Rent,Auto,Bachelor,2590.0,700.0,0.464,1
A00057,47,38168.0,Retired,Rent,Education,Bachelor,1609.0,750.0,0.245,0
A00058,28,60721.0,Retired,Mortgage,Education,Bachelor,4728.0,,0.239,1
A00059,57,94817.0,Salaried,Mortgage,Business,Bachelor,1268.0,608.0,0.295,0
A00060,54,36439.0,Self-Employed,Own,Home Improvement,High School,2881.0,744.0,0.523,0
A00061,66,57323.0,Salaried,Mortgage,Home Improvement,Master,2626.0,674.0,0.396,1
A00062,57,56256.0,Self-Employed,Own,Business,Master,3506.0,616.0,0.354,1
A00063,38,86232.0,Salaried,Rent,Business,Bachelor,5352.0,767.0,0.154,0
A00064,68,83438.0,Salaried,Own,Education,Bachelor,10495.0,775.0,0.216,0
A00065,41,86137.0,Self-Employed,Own,Home Improvement,High School,2984.0,697.0,0.169,1
A00066,36,77323.0,Salaried,Own,Auto,Bachelor,1878.0,,0.553,1
A00067,65,83385.0,Self-Employed,Own,Auto,Bachelor,1767.0,730.0,0.436,1
A00068,39,43897.0,Salaried,Own,Home Improvement,Bachelor,1750.0,771.0,0.233,0
A00069,24,77501.0,Retired,Rent,Home Improvement,High School,3444.0,742.0,0.279,0
A00070,44,117671.0,Unemployed,Mortgage,Education,Bachelor,607.0,534.0,0.228,1
A00071,59,71836.0,Salaried,Mortgage,Business,High School,1212.0,811.0,0.222,0
A00072,30,56423.0,Self-Employed,Rent,Medical,Bachelor,3434.0,749.0,0.437,0
