text,label
"One star for this laptop, nobody in my family likes it.",0
The laptop broke quickly and customer support ignored my messages.,0
Highly recommend this tool — it works smoothly every single day.,1
Do not buy this laptop — the design is clunky and impractical.,0
"Really disappointed with this blender, it broke after just a few days.",0
Do not buy this restaurant — nobody in my family likes it.,0
"What an awful backpack, it keeps crashing every single day.",0
"Best service I've bought in years, it does exactly what it promises.",1
"I hated this book, it destroyed completely.",0
"Five stars for this book, the price was totally worth it.",1
"What an awful service, it wasted so much of my time.",0
Do not buy this software — the build quality is awful.,0
"Really disappointed with this camera, customer support ignored my messages.",0
"Really happy with this headphones, it does exactly what it promises.",1
"What an awful camera, it broke after just a few days.",0
Do not buy this speaker — the build quality is awful.,0
Do not buy this chair — it wasted so much of my time.,0
"I hated this phone, it wasted completely.",0
"I'm impressed by this movie, customer support was super helpful.",1
"One star for this laptop, the build quality is awful.",0
"This chair exceeded my expectations, delivery was fast and easy.",1
"Best laptop I've bought in years, delivery was fast and easy.",1
Highly recommend this headphones — it saved me so much time.,1
"I'm frustrated with this app, delivery took forever and arrived damaged.",0
"This camera is fantastic, delivery was fast and easy.",1
"Really disappointed with this app, it broke after just a few days.",0
Do not buy this phone — delivery took forever and arrived damaged.,0
"This hotel is terrible, nobody in my family likes it.",0
The camera works great and the build quality is excellent.,1
"I hated this phone, it destroyed completely.",0
"What a wonderful chair, it lasted way longer than expected.",1
"What an awful game, it keeps crashing every single day.",0
"What an awful software, it broke after just a few days.",0
"This phone is fantastic, the price was totally worth it.",1
"This watch exceeded my expectations, everyone in my family loves it.",1
Highly recommend this headphones — it works smoothly every single day.,1
"One star for this hotel, it keeps crashing every single day.",0
"This watch exceeded my expectations, it lasted way longer than expected.",1
"Best speaker I've bought in years, it saved me so much time.",1
"What an awful restaurant, the price was a total ripoff.",0
"This watch is fantastic, everyone in my family loves it.",1
"What a wonderful tool, customer support was super helpful.",1
Do not buy this course — it never does what it promises.,0
"Five stars for this phone, customer support was super helpful.",1
"I absolutely loved this chair, it outperformed every expectation.",1
"What a wonderful software, everyone in my family loves it.",1
"Worst backpack I've ever bought, the build quality is awful.",0
"Really disappointed with this service, the build quality is awful.",0
"Five stars for this watch, the build quality is excellent.",1
Do not buy this service — customer support ignored my messages.,0
"This game is fantastic, the build quality is excellent.",1
"This speaker is fantastic, delivery was fast and easy.",1
"Really happy with this headphones, delivery was fast and easy.",1
Highly recommend this watch — it lasted way longer than expected.,1
"This backpack is fantastic, delivery was fast and easy.",1
"I'm frustrated with this laptop, it never does what it promises.",0
"Worst camera I've ever bought, customer support ignored my messages.",0
"I'm impressed by this backpack, the price was totally worth it.",1
"This watch is fantastic, delivery was fast and easy.",1
"This app is terrible, it never does what it promises.",0
The phone works great and it works smoothly every single day.,1
"I hated this camera, it ruined completely.",0
"What an awful tool, it never does what it promises.",0
"I'm frustrated with this hotel, the design is clunky and impractical.",0
"This jacket is terrible, nobody in my family likes it.",0
"What a wonderful hotel, everyone in my family loves it.",1
"Five stars for this game, delivery was fast and easy.",1
"Really disappointed with this jacket, the design is clunky and impractical.",0
"Really disappointed with this service, it wasted so much of my time.",0
The jacket works great and customer support was super helpful.,1
"What a wonderful game, it does exactly what it promises.",1
"This restaurant exceeded my expectations, everyone in my family loves it.",1
"This service is fantastic, it works smoothly every single day.",1
"Five stars for this service, the design is beautiful and practical.",1
"Really disappointed with this headphones, the build quality is awful.",0
"One star for this watch, it broke after just a few days.",0
"This hotel exceeded my expectations, the price was totally worth it.",1
"What an awful jacket, the price was a total ripoff.",0
"Five stars for this jacket, the design is beautiful and practical.",1
"I absolutely loved this hotel, it surpassed every expectation.",1
"I hated this book, it wasted completely.",0
"What an awful software, the build quality is awful.",0
"Best tool I've bought in years, customer support was super helpful.",1
"What an awful service, nobody in my family likes it.",0
"Five stars for this app, it saved me so much time.",1
"I'm impressed by this tool, delivery was fast and easy.",1
The watch works great and the price was totally worth it.,1
"This app is terrible, customer support ignored my messages.",0
Do not buy this service — the design is clunky and impractical.,0
"I'm frustrated with this phone, it wasted so much of my time.",0
"I'm impressed by this tool, it does exactly what it promises.",1
Do not buy this backpack — it broke after just a few days.,0
"I'm frustrated with this movie, customer support ignored my messages.",0
The course works great and it lasted way longer than expected.,1
"This watch fell short of my expectations, it wasted so much of my time.",0
"I'm frustrated with this app, the build quality is awful.",0
The software broke quickly and it never does what it promises.,0
"This course is terrible, it never does what it promises.",0
"This camera exceeded my expectations, the build quality is excellent.",1
"I'm impressed by this headphones, everyone in my family loves it.",1
"This book is fantastic, it lasted way longer than expected.",1
Highly recommend this speaker — it works smoothly every single day.,1
"This service exceeded my expectations, the price was totally worth it.",1
"This game is fantastic, it does exactly what it promises.",1
"Best speaker I've bought in years, it does exactly what it promises.",1
The chair works great and everyone in my family loves it.,1
"This game fell short of my expectations, it broke after just a few days.",0
"What an awful app, customer support ignored my messages.",0
"Really disappointed with this movie, it never does what it promises.",0
The restaurant works great and the price was totally worth it.,1
Do not buy this speaker — it never does what it promises.,0
"Worst chair I've ever bought, it keeps crashing every single day.",0
"Really disappointed with this headphones, it wasted so much of my time.",0
The laptop works great and it lasted way longer than expected.,1
"This jacket is terrible, the price was a total ripoff.",0
"What an awful book, the price was a total ripoff.",0
The service works great and the design is beautiful and practical.,1
"This restaurant is fantastic, it works smoothly every single day.",1
"One star for this watch, it keeps crashing every single day.",0
"This watch is fantastic, the design is beautiful and practical.",1
"Best hotel I've bought in years, it works smoothly every single day.",1
"Really disappointed with this blender, the design is clunky and impractical.",0
"What an awful laptop, nobody in my family likes it.",0
The app works great and the design is beautiful and practical.,1
"I'm impressed by this software, the price was totally worth it.",1
Do not buy this jacket — it broke after just a few days.,0
Highly recommend this game — the price was totally worth it.,1
The book works great and the design is beautiful and practical.,1
"What a wonderful book, it does exactly what it promises.",1
"What a wonderful headphones, the price was totally worth it.",1
"Worst book I've ever bought, the build quality is awful.",0
"This course is fantastic, it does exactly what it promises.",1
"Really disappointed with this book, it never does what it promises.",0
"Five stars for this hotel, it lasted way longer than expected.",1
"This phone fell short of my expectations, the price was a total ripoff.",0
"I absolutely loved this game, it surpassed every expectation.",1
"I'm frustrated with this blender, it broke after just a few days.",0
